Imóvel;Endereço;Área;Num Unidades;Características;% tx ocupação;% inadimplência;% das receitas do fii
HGLG Vinhedo;Avenida das Indústrias, s/n, CPI 5000, Vinhedo, SP;132.353;1;-;100,00%;0,00%;9,57%
DCB - Distribuition Center Barueri;Avenida Piracema, nº 155, quadra 5, lotes 9 a 16 e 17 (parte), Tamboré, Barueri;90.484;1;-;100,00%;0,00%;8,12%
DCC - Distribuition Center Cajamar;Rodovia Anhanguera, km 31.775, Cidade de Cajamar;102.708;1;-;94,05%;0,00%;6,53%
DCR - Distribuition Center Rodoanel;Av. Hélio Ossamu Daikuara, nº 1.445, Jardim Vista Alegre, Embu das Artes;77.587;1;-;89,97%;0,00%;5,03%
HGLG Itupeva G200;Estrada Joaquim Bueno Neto, 9835, Itupeva, SP;89.976;1;-;100,00%;0,00%;4,74%
HGLG Goiânia;Rodovia BR 153, Fazenda Retiro, Goiânia - GO, 74620-430;78.223;1;-;100,00%;0,00%;4,17%
CLE - Centro Logístico Embu;Rua José Semião Rodrigues Agostinho, nº 1.370, Água Espraiada, Embu das Artes;66.520;1;-;93,33%;0,00%;4,09%
HGLG Betim BTS - Meli;Rua da Harmonia  Parque Industrial de Betim, Betim - MG;95.730;1;-;100,00%;0,00%;4,04%
HGLG São Carlos;Rodovia Eng. Thales de Lorena Peixoto Júnio, Km 9.5, São Carlos, SP;79.642;1;-;95,40%;0,00%;3,90%
HGLG Ribeirão Preto;Rodovia Anhanguera, km 317.5, Ribeirão Preto - SP;59.875;1;-;100,00%;0,00%;3,66%
Torino;Rodovia BR-381, s/n, km 483, Pista Norte, Jardim Piemonte, Betim, MG;66.040;1;-;95,05%;0,00%;3,58%
HGLG Cone MM2;Rodovia BR 101, 5225, Cabo de Santo Agostinho, PE;141.687;1;-;100,00%;0,00%;3,58%
HGLG Louveira;Rua Atílio Biscuola, 1831, Louveira , SP;55.202;1;-;100,00%;0,00%;3,56%
HGLG Blumenau;Rua Iguaçu, 291/383, Blumenau, SC;65.825;1;-;100,00%;0,00%;2,95%
Condomínio SJC;Rua Ambrósio Molina, 1090/1100, São José dos Campos, SP;72.487;1;-;71,02%;0,00%;2,90%
HGLG Itupeva G100;Estrada Joaquim Bueno Neto, 9835, Itupeva, SP;58.828;1;-;83,84%;0,00%;2,64%
HGLG Betim;Avenida Parque B, 347, Betim, MG;62.587;1;-;84,85%;0,00%;2,55%
HGLG Extrema;Estrada Municipal José Geraldo Aparecido e Rua Josepha Gomes de Souza, Extrema, MG;34.101;1;-;100,00%;0,00%;2,27%
HGLG Itapevi;Rod. Pres. Castello Branco, altura do Km 34,5 - Ingahi, Cidade de Itapevi;34.286;1;-;100,00%;0,00%;2,09%
Master Labs;Av. Guido Caloi, 1.935,  São Paulo, SP;14.337;1;-;79,47%;0,00%;1,57%
HGLG Monte Mor;Rua Tobias Bueno de Oliveira, 701, Monte Mor, SP;24.696;1;-;100,00%;0,00%;1,29%
Syslog;Parque Duque, Duque de Caxias - RJ, 25085-009;27.946;1;-;100,00%;0,00%;1,24%
HGLG Campo Grande;Estrada do Pedregoso, 900, Freguesia de Campo Grande, RJ;16.532;1;-;100,00%;0,00%;1,03%
HGLG Washington Luiz;Avenida SN 1, 280, Parque Duque, Duque de Caxias - RJ;24.502;1;-;100,00%;23,92%;0,79%
HGLG Rio Claro;Avenida Brasil, 3.464, Rio Claro, SP;11.492;1;-;100,00%;0,00%;0,53%
HGLG CONE 06;Rodovia BR 101, 5225, Cabo de Santo Agostinho, PE;15.732;1;-;72,72%;10,70%;0,53%
Tech Town;Rodovia SP 101, Km 9,5, Hortolândia , SP;8.760;1;-;82,90%;0,00%;0,47%
