Ticker,Tipo,Data Com,Pagamento,Valor,Segmento,Tipo da Gestão,Público-alvo,Rendimento Médio 24M,Taxa Administração,Liquidez Média Diária,Participação IFIX
003H11,,,,,,,,,,,
AAZQ11,RENDIMENTO,2025-06-30,14/07/2025,0.135,Indefinido,,,,- % a.a,"346.578,30",
AAZQ11,RENDIMENTO,2025-05-30,13/06/2025,0.095,Indefinido,,,,- % a.a,"346.578,30",
AAZQ11,RENDIMENTO,2025-04-30,15/05/2025,0.095,Indefinido,,,,- % a.a,"346.578,30",
AAZQ11,RENDIMENTO,2025-03-31,14/04/2025,0.095,Indefinido,,,,- % a.a,"346.578,30",
AAZQ11,RENDIMENTO,2025-02-28,18/03/2025,0.095,Indefinido,,,,- % a.a,"346.578,30",
AAZQ11,RENDIMENTO,2025-01-31,14/02/2025,0.095,Indefinido,,,,- % a.a,"346.578,30",
AAZQ11,RENDIMENTO,2024-12-30,15/01/2025,0.13,Indefinido,,,,- % a.a,"346.578,30",
AAZQ11,RENDIMENTO,2024-11-29,13/12/2024,0.095,Indefinido,,,,- % a.a,"346.578,30",
AAZQ11,RENDIMENTO,2024-10-31,14/11/2024,0.095,Indefinido,,,,- % a.a,"346.578,30",
AAZQ11,RENDIMENTO,2024-09-30,14/10/2024,0.095,Indefinido,,,,- % a.a,"346.578,30",
AAZQ11,RENDIMENTO,2024-08-30,13/09/2024,0.095,Indefinido,,,,- % a.a,"346.578,30",
AAZQ11,RENDIMENTO,2024-07-31,14/08/2024,0.095,Indefinido,,,,- % a.a,"346.578,30",
ABCP11,,,,,,,,,,,
AFHI11,,,,,,,,,,,
AGRX11,RENDIMENTO,2025-06-06,13/06/2025,0.12,Indefinido,,,,- % a.a,"168.553,15",
AGRX11,RENDIMENTO,2025-04-07,14/04/2025,0.11,Indefinido,,,,- % a.a,"168.553,15",
AGRX11,RENDIMENTO,2025-03-11,18/03/2025,0.11,Indefinido,,,,- % a.a,"168.553,15",
AGRX11,RENDIMENTO,2025-02-07,14/02/2025,0.11,Indefinido,,,,- % a.a,"168.553,15",
AIEC11,,,,,,,,,,,
AJFI11,,,,,,,,,,,
ALMI11,,,,,,,,,,,
ALZC11,,,,,,,,,,,
ALZM11,,,,,,,,,,,
ALZR11,,,,,,,,,,,
ALZT11,,,,,,,,,,,
AMAZ11,,,,,Indefinido,,,,- % a.a,-,
ANCR11,,,,,,,,,,,
ANGC11,,,,,,,,,,,
APTO11,,,,,,,,,,,
APXM11,,,,,,,,,,,
APXR11,,,,,,,,,,,
APXU11,,,,,,,,,,,
AROA11,,,,,,,,,,,
ARRI11,,,,,,,,,,,
ARTE11,,,,,,,,,,,
ARXD11,,,,,,,,,,,
ASRF11,,,,,,,,,,,
ATCR11,,,,,,,,,,,
ATSA11,,,,,,,,,,,
ATWN11,,,,,,,,,,,
AURB11,,,,,,,,,,,
AZPE11,,,,,,,,,,,
AZPL11,,,,,,,,,,,
BARI11,,,,,,,,,,,
BBFI11,,,,,,,,,,,
BBFO11,,,,,,,,,,,
BBGO11,RENDIMENTO,2025-06-30,14/07/2025,0.95,Indefinido,,,,- % a.a,"188.269,30",
BBGO11,RENDIMENTO,2025-05-30,13/06/2025,0.95,Indefinido,,,,- % a.a,"188.269,30",
BBGO11,RENDIMENTO,2025-04-30,15/05/2025,0.95,Indefinido,,,,- % a.a,"188.269,30",
BBGO11,RENDIMENTO,2025-03-31,14/04/2025,0.85,Indefinido,,,,- % a.a,"188.269,30",
BBGO11,RENDIMENTO,2025-02-28,18/03/2025,0.79,Indefinido,,,,- % a.a,"188.269,30",
